A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
A candle is burning.
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
Wind blow out the candle
